REVISION,DATA STATUS,LOCATION,PARENT EQUIPMENT,PARENT ITEM TAG,ASSET ROLE,ITEM TAG,DESCRIPTION,PANEL LOCATION,PANEL TAG,SUPPLY BUS,EQUIPMENT TYPE,STARTER TYPE,TYPICAL SCHEMATIC,CLASS,DUTY,COINCIDENCE FACTOR,SUPPLY AC/DC,PHASE ARRANGEMENT,RATED VOLTAGE [kV],POWER FACTOR AT DEMAND,EFFICIENCY AT DEMAND,RATED POWER,RATED UOM,ABSORBED POWER,ABSORBED UOM,DEMAND FACTOR,ELEC. CONSUMED POWER,CONSUMED UOM,FULL LOAD CURRENT [A],HAZARDOUS AREA,EXPLOSION PROTECTION,SUBTATION,CABL LENGTH,PARENT TRANSFORMER OF PANEL OR DIREC FEEDER (FDR),REMARKS,SPID
A,E,\SYN\C30,KPL2-C30-430-LV03-SWBD03,KPL2-C30-430-LV03-SWBD03,ELECTRICAL_ASSET,KPL2-C30-430-LV03-MCC05,AREA C30 MCC 05,,KPL2-C30-430-LV03-SWBD03,KPL2-C30-430-LV03-SWBD03,MCC,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,500,kW,,kW,1,,kW,,Safe Area,-,KPL2-C30-430-SUB03,,KPL2-C30-430-LV03-SWBD03,Synthetic hierarchy asset row,SYN-ASSET-0020
A,E,\SYN\C30,KPL2-C30-430-LV03-SWBD03,KPL2-C30-430-LV03-SWBD03,ELECTRICAL_ASSET,KPL2-C30-430-LV03-MCC06,AREA C30 MCC 06,,KPL2-C30-430-LV03-SWBD03,KPL2-C30-430-LV03-SWBD03,MCC,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,200,kW,,kW,1,,kW,,Safe Area,-,KPL2-C30-430-SUB03,,KPL2-C30-430-LV03-SWBD03,Synthetic hierarchy asset row,SYN-ASSET-0021
A,E,\SYN\C30,KPL2-C30-430-MV01-SWBD03,KPL2-C30-430-MV01-SWBD03,ELECTRICAL_ASSET,KPL2-C30-430-MV01-SWG01,AREA C30 MV FEEDER SWITCHGEAR 01,,KPL2-C30-430-MV01-SWBD03,KPL2-C30-430-MV01-SWBD03,HV,FDR,FD-ASSET,N,C,1,AC,3PNG,6.6,,,3800,kW,,kW,1,,kW,,Safe Area,-,KPL2-C30-430-SUB03,,KPL2-C30-430-MV01-SWBD03,Synthetic hierarchy asset row,SYN-ASSET-0022
A,E,\SYN\Z90,KPL2-Z90-999-LV99-SWBD99,KPL2-Z90-999-LV99-SWBD99,ELECTRICAL_ASSET,KPL2-Z90-999-LV99-MCC99,UNVERIFIED SYNTHETIC MCC 99,,KPL2-Z90-999-LV99-SWBD99,KPL2-Z90-999-LV99-SWBD99,MCC,FDR,FD-ASSET,N,C,1,AC,3PNG,0.4,,,60,kW,,kW,1,,kW,,Safe Area,-,KPL2-Z90-999-SUB99,,KPL2-Z90-999-LV99-SWBD99,Synthetic hierarchy asset row,SYN-ASSET-0023
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-PP001,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.88,0.92,1.5,kW,1.35,kW,0.7,0.94,kW,1.5,Safe Area,-,KPL2-A10-410-SUB01,35,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0001
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-FN001,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,A,MAA,DOL,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.86,0.9,2.2,kW,1.9,kW,0.6,1.14,kW,1.9,Safe Area,-,KPL2-A10-410-SUB01,50,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0002
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-FN002,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,DOL,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.86,0.9,22,kW,15.98,kW,0.7,11.19,kW,18.8,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0003
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-CP001,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.89,0.93,4,kW,3.31,kW,0.8,2.65,kW,4.3,Safe Area,-,KPL2-A10-410-SUB01,80,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0004
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-MX001,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,B,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.88,0.92,5.5,kW,4.17,kW,0.8,3.34,kW,5.5,Safe Area,-,KPL2-A10-410-SUB01,35,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0005
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-MX002,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,B,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.88,0.92,55,kW,44.14,kW,0.8,35.31,kW,57.9,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0006
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-PP002,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,VSD,FD-LV-MOT,U,S,0,AC,3PNG,0.4,0.88,0.92,75,kW,60.81,kW,1.0,60.81,kW,99.7,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0007
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-MX003,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,A,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.88,0.92,22,kW,16.86,kW,0.6,10.12,kW,16.6,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0008
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-MX004,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,B,MAA,VSD,FD-LV-MOT,E,S,0,AC,3PNG,0.4,0.88,0.92,2.2,kW,2.04,kW,0.6,1.22,kW,2.0,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0009
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-MX005,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.88,0.92,3,kW,2.43,kW,0.7,1.7,kW,2.8,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0010
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-PP003,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,A,MAA,VSD,FD-LV-MOT,N,I,0,AC,3PNG,0.4,0.88,0.92,22,kW,19.19,kW,1.0,19.19,kW,31.5,Safe Area,-,KPL2-A10-410-SUB01,80,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0011
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-CP002,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,B,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.89,0.93,5.5,kW,5.27,kW,1.0,5.27,kW,8.5,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0012
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-PP004,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,A,MAA,VSD,FD-LV-MOT,E,S,0,AC,3PNG,0.4,0.88,0.92,4,kW,3.67,kW,0.8,2.94,kW,4.8,Safe Area,-,KPL2-A10-410-SUB01,50,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0013
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-FN003,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,B,MAA,DOL,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.86,0.9,75,kW,66.92,kW,0.7,46.84,kW,78.6,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0014
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-CP003,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,VSD,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.89,0.93,3,kW,2.35,kW,0.7,1.65,kW,2.7,Safe Area,-,KPL2-A10-410-SUB01,65,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0015
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-FN004,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,A,MAA,DOL,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.86,0.9,11,kW,10.29,kW,0.9,9.26,kW,15.5,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0016
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-CP004,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,A,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.89,0.93,2.2,kW,1.98,kW,0.6,1.19,kW,1.9,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0017
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-CP005,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,VSD,FD-LV-MOT,E,I,0,AC,3PNG,0.4,0.89,0.93,22,kW,16.18,kW,0.9,14.56,kW,23.6,Safe Area,-,KPL2-A10-410-SUB01,65,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0018
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-FN005,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,B,MAA,DOL,FD-LV-MOT,U,I,0,AC,3PNG,0.4,0.86,0.9,55,kW,52.04,kW,0.6,31.22,kW,52.4,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0019
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-MX006,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,VSD,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.88,0.92,2.2,kW,1.74,kW,0.7,1.22,kW,2.0,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0020
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-MX007,MIXER DRIVE,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,B,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.88,0.92,18.5,kW,16.7,kW,1.0,16.7,kW,27.4,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0021
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,KPL2-A10-410-LV01-MCC01,FINAL_LOAD,KPL2-A10-410-FN006,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC01,-,MAA,DOL,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.86,0.9,22,kW,16.89,kW,0.8,13.51,kW,22.7,Safe Area,-,KPL2-A10-410-SUB01,35,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0022
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-PK001,PACKAGE AUXILIARY LOAD,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,A,PK,FDR,FD-LV-PKG,E,S,0,AC,3PNG,0.4,0.9,0.95,7.5,kW,6.28,kW,0.6,3.77,kW,6.0,Safe Area,-,KPL2-A10-410-SUB01,35,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0023
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-FN007,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,B,MAA,DOL,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.86,0.9,75,kW,64.21,kW,0.6,38.53,kW,64.7,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0024
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-PP005,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,B,MAA,VSD,FD-LV-MOT,U,C,1,AC,3PNG,0.4,0.88,0.92,45,kW,38.15,kW,0.7,26.7,kW,43.8,Safe Area,-,KPL2-A10-410-SUB01,95,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0025
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-FN008,VENTILATION FAN,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,-,MAA,DOL,FD-LV-MOT,N,S,0,AC,3PNG,0.4,0.86,0.9,5.5,kW,4.66,kW,1.0,4.66,kW,7.8,Safe Area,-,KPL2-A10-410-SUB01,150,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0026
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-CP006,AIR COMPRESSOR,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,-,MAA,VSD,FD-LV-MOT,U,S,0,AC,3PNG,0.4,0.89,0.93,37,kW,28.43,kW,0.8,22.74,kW,36.9,Safe Area,-,KPL2-A10-410-SUB01,65,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0027
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-HT001,SERVICE HEATER,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,A,HE,FDR,FD-LV-HEAT,N,C,1,AC,3PNG,0.4,1.0,1.0,75,kW,63.32,kW,0.6,37.99,kW,54.8,Safe Area,-,KPL2-A10-410-SUB01,65,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0028
A,E,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,KPL2-A10-410-LV01-MCC02,FINAL_LOAD,KPL2-A10-410-PP006,PROCESS PUMP,\NEX\A10\410,KPL2-A10-410-LV01-MCC02,A,MAA,VSD,FD-LV-MOT,N,C,1,AC,3PNG,0.4,0.88,0.92,22,kW,18.76,kW,1.0,18.76,kW,30.8,Safe Area,-,KPL2-A10-410-SUB01,120,KPL2-A10-410-TR01,Synthetic final load record,SYN-LOAD-0029
